BJ01,51,1,1,51,1,1,51,1
BJ02,2,51,2,2,51,2,2,51
BJ03,3,3,51,3,3,51,3,3
BJ04,0,0,0,0,0,0,0,0
BJ05,0,0,0,0,0,0,0,0
JJ01,6,52,6,52,6,52,6,52
JJ02,52,7,52,7,52,7,52,7
JJ03,53,8,53,8,53,8,53,8
JJ04,8,53,8,53,8,53,8,53
JJ05,54,8,54,8,54,8,54,8
JJ06,8,54,8,54,8,54,8,54
JJ07,9,55,9,55,9,55,9,55
JB01,53,10,10,53,10,10,53,10
JB02,53,10,10,53,10,10,53,10
JB03,53,10,10,53,10,10,53,10
JB04,10,53,10,10,53,10,10,53
JB05,10,53,10,10,53,10,10,53
JB06,10,53,10,10,53,10,10,53
JB07,10,10,53,10,10,53,10,10
JB08,10,10,53,10,10,53,10,10
JB09,10,10,53,10,10,53,10,10
JB10,10,10,53,10,10,53,10,10
JB11,54,11,11,54,11,11,54,11
JB12,54,11,11,54,11,11,54,11
JB13,54,11,11,54,11,11,54,11
JB14,11,54,11,11,54,11,11,54
JB15,11,54,11,11,54,11,11,54
JB16,11,54,11,11,54,11,11,54
JB17,11,11,54,11,11,54,11,11
JB18,11,11,54,11,11,54,54,11
JB19,56,12,56,12,56,12,56,12
JB20,56,12,56,12,56,12,56,12
JB21,56,12,56,12,56,12,56,12
JB22,12,56,12,56,12,56,12,56
JB23,12,56,12,56,12,56,12,56
JB24,12,56,12,56,12,56,12,56
JB25,57,13,57,13,57,13,57,13
JB26,57,13,57,13,57,13,57,13
JB27,57,13,57,13,57,13,57,13
JB28,57,13,57,13,57,13,57,13
JB29,13,57,13,57,13,57,13,57
JB30,13,57,13,57,13,57,13,57
JB31,13,57,13,57,13,57,13,57
JB32,13,57,13,57,13,57,13,57
JB33,58,14,58,14,58,14,58,14
JB34,58,14,58,14,58,14,58,14
JB35,58,14,58,14,58,14,58,14
JB36,58,14,58,14,58,14,58,14
JB37,58,14,58,14,58,14,58,14
JB38,14,58,14,58,14,58,14,58
JB39,14,58,14,58,14,58,14,58
JB40,14,58,14,58,14,58,14,58
JB41,14,58,14,58,14,58,14,58
JB42,14,58,14,58,14,58,14,58
JB43,59,15,59,15,59,15,59,15
JB44,59,15,59,15,59,15,59,15
JB45,59,15,59,15,59,15,59,15
JB46,59,15,59,15,59,15,59,15
JB47,59,15,59,15,59,15,59,15
JB48,15,59,15,59,15,59,15,59
JB49,15,59,15,59,15,59,15,59
JB50,15,59,15,59,15,59,15,59
JB51,15,59,15,59,15,59,15,59
JB52,15,59,15,59,15,59,15,59
JB53,60,16,60,16,60,16,60,16
JB54,60,16,60,16,60,16,60,16
JB55,60,16,60,16,60,16,60,16
JB56,16,60,16,60,16,60,16,60
JB57,16,60,16,60,16,60,16,60
JB58,16,60,16,60,16,60,16,60
JB59,61,17,61,17,61,17,61,17
JB60,61,17,61,17,61,17,61,17
JB61,61,17,61,17,61,17,61,17
JB62,61,17,61,17,61,17,61,17
JB63,17,61,17,61,17,61,17,61
JB64,17,61,17,61,17,61,17,61
JB65,17,61,17,61,17,61,17,61
JB66,17,61,17,61,17,61,17,61
JB67,62,18,62,18,62,18,62,18
JB68,62,18,62,18,62,18,62,18
JB69,62,18,62,18,62,18,62,18
JB70,18,62,18,62,18,62,18,62
JB71,18,62,18,62,18,62,18,62
JB72,18,62,18,62,18,62,18,62
JB73,63,19,63,19,63,19,63,19
JB74,63,19,63,19,63,19,63,19
JB75,63,19,63,19,63,19,63,19
